frame,id,x1,y1,x2,y2,xc,yc,class,wave,video,window
37,1,248,336,719,867,483,601,palm,1,wave_train.mp4,0
38,1,240,332,716,872,478,602,palm,1,wave_train.mp4,0
39,1,236,332,713,874,474,603,palm,1,wave_train.mp4,0
40,1,239,335,713,876,476,605,palm,1,wave_train.mp4,0
41,1,247,337,713,871,480,604,palm,1,wave_train.mp4,0
42,1,240,339,706,870,473,604,palm,1,wave_train.mp4,0
43,1,235,340,704,869,469,604,palm,1,wave_train.mp4,0
44,1,237,342,703,870,470,606,palm,1,wave_train.mp4,0
45,1,247,343,707,869,477,606,palm,1,wave_train.mp4,0
46,1,253,343,709,867,481,605,palm,1,wave_train.mp4,0
47,1,255,347,702,864,478,605,palm,1,wave_train.mp4,0
48,1,242,353,690,869,466,611,palm,1,wave_train.mp4,0
49,1,223,343,675,860,449,601,palm,1,wave_train.mp4,0
50,1,197,338,662,858,429,598,palm,1,wave_train.mp4,0
51,1,213,342,675,862,444,602,palm,1,wave_train.mp4,0
52,1,269,353,712,867,490,610,palm,1,wave_train.mp4,0
53,1,318,366,737,865,527,615,palm,1,wave_train.mp4,0
54,1,342,376,742,861,542,618,palm,1,wave_train.mp4,0
55,1,332,368,726,853,529,610,palm,1,wave_train.mp4,0
56,1,274,353,682,848,478,600,palm,1,wave_train.mp4,0
57,1,224,337,652,844,438,590,palm,1,wave_train.mp4,0
58,1,210,331,653,849,431,590,palm,1,wave_train.mp4,0
59,1,256,342,689,855,472,598,palm,1,wave_train.mp4,0
60,1,308,361,725,863,516,612,palm,1,wave_train.mp4,0
61,1,339,372,740,863,539,617,palm,1,wave_train.mp4,0
62,1,339,368,732,856,535,612,palm,1,wave_train.mp4,0
63,1,314,363,703,854,508,608,palm,1,wave_train.mp4,0
64,1,267,340,667,843,467,591,palm,1,wave_train.mp4,0
65,1,208,326,636,846,422,586,palm,1,wave_train.mp4,0
66,1,217,326,646,849,431,587,palm,1,wave_train.mp4,0
67,1,236,339,672,863,454,601,palm,1,wave_train.mp4,0
68,1,293,349,713,866,503,607,palm,1,wave_train.mp4,0
69,1,324,357,731,866,527,611,palm,1,wave_train.mp4,0
70,1,323,359,722,862,522,610,palm,1,wave_train.mp4,0
71,1,280,350,684,855,482,602,palm,1,wave_train.mp4,0
72,1,224,331,643,848,433,589,palm,1,wave_train.mp4,0
73,1,173,315,619,848,396,581,palm,1,wave_train.mp4,0
74,1,174,316,634,857,404,586,palm,1,wave_train.mp4,0
75,1,223,338,672,872,447,605,palm,1,wave_train.mp4,0
76,1,283,349,711,871,497,610,palm,1,wave_train.mp4,0
47,1,255,347,702,864,478,605,palm,1,wave_train.mp4,1
48,1,242,353,690,869,466,611,palm,1,wave_train.mp4,1
49,1,223,343,675,860,449,601,palm,1,wave_train.mp4,1
50,1,197,338,662,858,429,598,palm,1,wave_train.mp4,1
51,1,213,342,675,862,444,602,palm,1,wave_train.mp4,1
52,1,269,353,712,867,490,610,palm,1,wave_train.mp4,1
53,1,318,366,737,865,527,615,palm,1,wave_train.mp4,1
54,1,342,376,742,861,542,618,palm,1,wave_train.mp4,1
55,1,332,368,726,853,529,610,palm,1,wave_train.mp4,1
56,1,274,353,682,848,478,600,palm,1,wave_train.mp4,1
57,1,224,337,652,844,438,590,palm,1,wave_train.mp4,1
58,1,210,331,653,849,431,590,palm,1,wave_train.mp4,1
59,1,256,342,689,855,472,598,palm,1,wave_train.mp4,1
60,1,308,361,725,863,516,612,palm,1,wave_train.mp4,1
61,1,339,372,740,863,539,617,palm,1,wave_train.mp4,1
62,1,339,368,732,856,535,612,palm,1,wave_train.mp4,1
63,1,314,363,703,854,508,608,palm,1,wave_train.mp4,1
64,1,267,340,667,843,467,591,palm,1,wave_train.mp4,1
65,1,208,326,636,846,422,586,palm,1,wave_train.mp4,1
66,1,217,326,646,849,431,587,palm,1,wave_train.mp4,1
67,1,236,339,672,863,454,601,palm,1,wave_train.mp4,1
68,1,293,349,713,866,503,607,palm,1,wave_train.mp4,1
69,1,324,357,731,866,527,611,palm,1,wave_train.mp4,1
70,1,323,359,722,862,522,610,palm,1,wave_train.mp4,1
71,1,280,350,684,855,482,602,palm,1,wave_train.mp4,1
72,1,224,331,643,848,433,589,palm,1,wave_train.mp4,1
73,1,173,315,619,848,396,581,palm,1,wave_train.mp4,1
74,1,174,316,634,857,404,586,palm,1,wave_train.mp4,1
75,1,223,338,672,872,447,605,palm,1,wave_train.mp4,1
76,1,283,349,711,871,497,610,palm,1,wave_train.mp4,1
77,1,313,357,723,868,518,612,palm,1,wave_train.mp4,1
78,1,304,357,705,863,504,610,palm,1,wave_train.mp4,1
79,1,266,342,669,849,467,595,palm,1,wave_train.mp4,1
80,1,201,332,618,845,409,588,palm,1,wave_train.mp4,1
81,1,147,322,591,850,369,586,palm,1,wave_train.mp4,1
82,1,145,322,608,855,376,588,palm,1,wave_train.mp4,1
83,1,199,328,649,854,424,591,palm,1,wave_train.mp4,1
84,1,257,346,689,858,473,602,palm,1,wave_train.mp4,1
85,1,295,354,711,860,503,607,palm,1,wave_train.mp4,1
86,1,294,354,699,853,496,603,palm,1,wave_train.mp4,1
57,1,224,337,652,844,438,590,palm,1,wave_train.mp4,2
58,1,210,331,653,849,431,590,palm,1,wave_train.mp4,2
