frame,id,x1,y1,x2,y2,xc,yc,class,wave,video
32,0,302,518,643,822,472,670,palm,1,wave_train.mp4
37,1,248,336,719,867,483,601,palm,1,wave_train.mp4
38,1,240,332,716,872,478,602,palm,1,wave_train.mp4
39,1,236,332,713,874,474,603,palm,1,wave_train.mp4
40,1,239,335,713,876,476,605,palm,1,wave_train.mp4
41,1,247,337,713,871,480,604,palm,1,wave_train.mp4
42,1,240,339,706,870,473,604,palm,1,wave_train.mp4
43,1,235,340,704,869,469,604,palm,1,wave_train.mp4
44,1,237,342,703,870,470,606,palm,1,wave_train.mp4
45,1,247,343,707,869,477,606,palm,1,wave_train.mp4
46,1,253,343,709,867,481,605,palm,1,wave_train.mp4
47,1,255,347,702,864,478,605,palm,1,wave_train.mp4
48,1,242,353,690,869,466,611,palm,1,wave_train.mp4
49,1,223,343,675,860,449,601,palm,1,wave_train.mp4
50,1,197,338,662,858,429,598,palm,1,wave_train.mp4
51,1,213,342,675,862,444,602,palm,1,wave_train.mp4
52,1,269,353,712,867,490,610,palm,1,wave_train.mp4
53,1,318,366,737,865,527,615,palm,1,wave_train.mp4
54,1,342,376,742,861,542,618,palm,1,wave_train.mp4
55,1,332,368,726,853,529,610,palm,1,wave_train.mp4
56,1,274,353,682,848,478,600,palm,1,wave_train.mp4
57,1,224,337,652,844,438,590,palm,1,wave_train.mp4
58,1,210,331,653,849,431,590,palm,1,wave_train.mp4
59,1,256,342,689,855,472,598,palm,1,wave_train.mp4
60,1,308,361,725,863,516,612,palm,1,wave_train.mp4
61,1,339,372,740,863,539,617,palm,1,wave_train.mp4
62,1,339,368,732,856,535,612,palm,1,wave_train.mp4
63,1,314,363,703,854,508,608,palm,1,wave_train.mp4
64,1,267,340,667,843,467,591,palm,1,wave_train.mp4
65,1,208,326,636,846,422,586,palm,1,wave_train.mp4
66,1,217,326,646,849,431,587,palm,1,wave_train.mp4
67,1,236,339,672,863,454,601,palm,1,wave_train.mp4
68,1,293,349,713,866,503,607,palm,1,wave_train.mp4
69,1,324,357,731,866,527,611,palm,1,wave_train.mp4
70,1,323,359,722,862,522,610,palm,1,wave_train.mp4
71,1,280,350,684,855,482,602,palm,1,wave_train.mp4
72,1,224,331,643,848,433,589,palm,1,wave_train.mp4
